"","Plot ID","Long","Lat","UTM east","UTM north","UTM east of lower left","UTM north of lower left","Mean CHM"
"1","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"2","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"3","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"4","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"5","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"6","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"7","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"8","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"9","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"10","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"11","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"12","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"13","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"14","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"15","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"16","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"17","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"18","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"19","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"20","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"21","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"22","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"23","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"24","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"25","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"26","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"27","CPER_002",-104.729248,40.810934,522835.613323335,4517804.55084296,522000,4517000,0
"28","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"29","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"30","CPER_004",-104.696873,40.81275,525565.473929164,4518015.07529566,525000,4518000,0.00168466996431351
"31","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"32","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"33","CPER_003",-104.707164,40.818451,524695.424447106,4518644.97101938,524000,4518000,0
"34","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"35","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
"36","CPER_001",-104.699535,40.850866,525326.454960406,4522245.42470125,525000,4522000,0
