"","plot ID","Long","Lat","UTM east","UTM north","UTM east of lower left","UTM north of lower left","Mean CHM"
"1","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"2","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"3","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"4","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"5","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"6","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"7","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"8","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"9","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"10","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"11","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"12","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"13","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"14","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"15","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"16","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"17","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"18","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"19","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"20","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"21","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"22","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"23","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"24","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"25","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"26","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"27","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"28","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"29","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"30","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"31","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"32","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"33","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"34","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"35","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"36","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"37","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"38","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"39","STER_004",-103.03289,40.463078,666777.398936914,4481014.73734383,666000,4481000,0.0260915894005298
"40","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"41","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"42","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"43","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"44","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
"45","STER_003",-103.032104,40.465235,666838.703173733,4481255.67078423,666000,4481000,0.0260915894005298
